CrimeDate,CrimeTime,CrimeCode,Location,Description,Inside/Outside,Weapon,Post,District,Neighborhood,Longitude,Latitude,Location 1,Premise,Total Incidents
12/30/2017,2032,9S,600 N ELLWOOD AV,SHOOTING,,FIREARM,224,SOUTHEASTERN,Ellwood Park/Monument,-76.5738,39.29844,"(39.29844, -76.5738)",Street,1
12/30/2017,2000,9S,4200 WABASH AV,SHOOTING,,FIREARM,643,NORTHWESTERN,Ashburton,-76.67181,39.33467,"(39.33467, -76.67181)",Common Bus,1
12/30/2017,246,9S,1300 LAURENS ST,SHOOTING,,FIREARM,743,WESTERN,Sandtown-Winchester,-76.63906,39.30338,"(39.30338, -76.63906)",Street,1
12/29/2017,738,9S,2800 WOODBROOK AV,SHOOTING,,FIREARM,732,WESTERN,Parkview/Woodbrook,-76.64578,39.31402,"(39.31402, -76.64578)",Street,1
12/28/2017,2101,9S,400 N EAST AV,SHOOTING,,FIREARM,224,SOUTHEASTERN,Ellwood Park/Monument,-76.57211,39.2963,"(39.2963, -76.57211)",Street,1
12/28/2017,400,1F,900 HERNDON CT,HOMICIDE,,FIREARM,913,SOUTHERN,Brooklyn,-76.60052,39.22833,"(39.22833, -76.60052)",Street,1
12/27/2017,2237,9S,3000 BELAIR RD,SHOOTING,,FIREARM,431,NORTHEASTERN,Clifton Park,-76.57583,39.31979,"(39.31979, -76.57583)",Street,1
12/27/2017,1728,1F,200 N MONASTERY AV,HOMICIDE,,FIREARM,843,SOUTHWESTERN,Allendale,-76.67467,39.28939,"(39.28939, -76.67467)",Street,1
12/26/2017,1925,1F,800 N DURHAM ST,HOMICIDE,,FIREARM,321,EASTERN,Middle East,-76.59165,39.29959,"(39.29959, -76.59165)",Street,1
12/26/2017,2204,1F,600 E 38TH ST,HOMICIDE,,FIREARM,543,NORTHERN,Waverly,-76.60731,39.33557,"(39.33557, -76.60731)",Street,1
12/26/2017,1641,1F,3700 ARCADIA AV,HOMICIDE,,FIREARM,613,NORTHWESTERN,Langston Hughes,-76.67805,39.34359,"(39.34359, -76.67805)",Street,1
12/26/2017,1231,9S,3400 MARY AV,SHOOTING,,FIREARM,425,NORTHEASTERN,Glenham-Belhar,-76.55254,39.35248,"(39.35248, -76.55254)",Street,1
12/26/2017,1231,9S,3400 MARY AV,SHOOTING,,FIREARM,425,NORTHEASTERN,Glenham-Belhar,-76.55254,39.35248,"(39.35248, -76.55254)",Street,1
